window_end,effective_N,analyzed_N,effective_ratio
2025-03-18,3.7615174491440553,12,0.31345978742867125
2025-03-19,3.7605360000804398,12,0.3133780000067033
2025-03-20,3.758535780081348,12,0.313211315006779
2025-03-21,3.7550223219024086,12,0.3129185268252007
2025-03-24,3.7532621274469236,12,0.3127718439539103
2025-03-25,3.7552981484969883,12,0.31294151237474904
2025-03-26,3.755011602571304,12,0.31291763354760865
2025-03-27,3.756887990603225,12,0.3130739992169354
2025-03-28,3.754456725954139,12,0.31287139382951157
2025-03-31,3.752241281268798,12,0.31268677343906653
2025-04-01,3.7520005993643437,12,0.31266671661369533
2025-04-02,3.750961229332065,12,0.31258010244433876
2025-04-03,3.7494382530401733,12,0.3124531877533478
2025-04-07,3.645043629159047,12,0.3037536357632539
2025-04-08,3.639091065218155,12,0.3032575887681796
2025-04-09,3.6349114931465616,12,0.3029092910955468
2025-04-10,3.6336414648272584,12,0.30280345540227155
2025-04-11,3.63489109115698,12,0.30290759092974834
2025-04-14,3.633625894473082,12,0.3028021578727568
2025-04-15,3.6337728311157824,12,0.30281440259298187
2025-04-16,3.6335031873996093,12,0.30279193228330076
2025-04-17,3.6300355681163654,12,0.3025029640096971
2025-04-22,3.6324508751413545,12,0.3027042395951129
2025-04-23,3.6375688696172075,12,0.3031307391347673
2025-04-24,3.6392003592006144,12,0.3032666966000512
2025-04-25,3.6395264609176556,12,0.303293871743138
2025-04-28,3.6382177059918694,12,0.3031848088326558
2025-04-29,3.635438026758378,12,0.3029531688965315
2025-04-30,3.6349064806699687,12,0.30290887338916406
2025-05-06,3.6352038850274773,12,0.3029336570856231
2025-05-07,3.6349299251924307,12,0.30291082709936923
2025-05-08,3.6311113692689294,12,0.3025926141057441
2025-05-09,3.634247718945723,12,0.30285397657881025
2025-05-12,3.631637308628824,12,0.30263644238573534
2025-05-13,3.6309404472069424,12,0.3025783706005785
2025-05-14,3.630460379171981,12,0.30253836493099845
2025-05-15,3.628821591243225,12,0.3024017992702687
2025-05-16,3.6297677309347356,12,0.3024806442445613
2025-05-19,3.6292304760874186,12,0.30243587300728486
2025-05-20,3.6251237456090664,12,0.3020936454674222
2025-05-21,3.622011444109172,12,0.3018342870090977
2025-05-22,3.6206743048211387,12,0.3017228587350949
2025-05-23,3.6140485464168943,12,0.30117071220140784
2025-05-27,3.61172108548807,12,0.30097675712400584
2025-05-28,3.6108610531975756,12,0.30090508776646463
2025-05-29,3.619991086982485,12,0.3016659239152071
2025-05-30,3.618482195819589,12,0.30154018298496577
2025-06-03,3.623052743788625,12,0.3019210619823854
2025-06-04,3.621580425767429,12,0.30179836881395244
2025-06-05,3.6207884787021736,12,0.30173237322518115
2025-06-06,3.6122892740914634,12,0.3010241061742886
2025-06-09,3.6145184549516385,12,0.3012098712459699
2025-06-10,3.611765498355438,12,0.3009804581962865
2025-06-11,3.6101515091020935,12,0.30084595909184114
2025-06-12,3.6115157486794125,12,0.3009596457232844
2025-06-13,3.605162068482805,12,0.3004301723735671
2025-06-16,3.6057240985046835,12,0.30047700820872364
2025-06-17,3.6059255550530636,12,0.30049379625442196
2025-06-18,3.6014778111000343,12,0.30012315092500286
2025-06-20,3.6039891647106543,12,0.30033243039255453
2025-06-23,3.602001326670483,12,0.30016677722254026
2025-06-24,3.605689801077527,12,0.3004741500897939
2025-06-25,3.6033334147165066,12,0.3002777845597089
2025-06-26,3.602904833554538,12,0.3002420694628782
2025-06-27,3.6026343804232335,12,0.3002195317019361
2025-06-30,3.6005785249955267,12,0.30004821041629387
2025-07-02,3.5982633500335557,12,0.299855279169463
2025-07-03,3.6000385869308187,12,0.3000032155775682
2025-07-07,3.612042560707817,12,0.3010035467256514
2025-07-08,3.6191569458329647,12,0.3015964121527471
2025-07-09,3.61689799835532,12,0.30140816652961
2025-07-10,3.6187497313119454,12,0.3015624776093288
2025-07-11,3.6142988781889076,12,0.30119157318240897
2025-07-14,3.6277947273028257,12,0.3023162272752355
2025-07-15,3.6665526299867404,12,0.30554605249889505
2025-07-16,3.677569097216998,12,0.30646409143474984
2025-07-17,3.69029268534024,12,0.30752439044502
2025-07-18,3.686542969616648,12,0.30721191413472065
2025-07-21,3.6835959153589815,12,0.3069663262799151
2025-07-22,3.677910673898192,12,0.30649255615818266
